,name,mass,radius,orbper
591,HD 147513 b,1.21,,528.4
592,HD 14787 b,1.121,1.25,676.6
593,HD 147873 b,5.14,,116.596
594,HD 147873 c,2.3,,491.54
595,HD 148156 b,0.85,,1010.0
596,HD 148164 b,5.16,,5062.0
597,HD 148164 c,1.23,,328.55
598,HD 149026 b,0.356,0.718,2.8758916
599,HD 149143 b,1.33,1.05,4.07206
600,HD 1502 b,2.75,1.183,428.5
601,HD 150433 b,0.168,,1096.2
602,HD 150706 b,2.71,,5894.0
603,HD 152079 b,3.0,,2097.0
604,HD 152581 b,1.5,,689.0
605,HD 152843 b,0.03637,0.3042,11.6264
606,HD 152843 c,0.0865,0.5201,27.13
607,HD 153950 b,2.73,,499.4
608,HD 154088 b,0.0208,,18.56
609,HD 154345 b,1.0,,3538.0
610,HD 154672 b,5.02,,163.91
611,HD 154857 b,2.24,,408.6
612,HD 154857 c,2.58,,3452.0
613,HD 155193 b,0.75,,352.65
614,HD 155233 b,2.6,,818.8
615,HD 155358 b,0.85,,194.3
616,HD 155358 c,0.82,,391.9
617,HD 156279 b,9.71,,131.05
618,HD 156279 c,8.6,,4191.0
619,HD 156411 b,0.74,,842.2
620,HD 156668 b,0.0131,,4.646
621,HD 156668 c,0.0158,,
622,HD 157172 b,0.12,,104.84
623,HD 158038 b,1.8,,521.0
624,HD 158259 b,2.22,0.107,2.178
625,HD 158259 c,0.01762,,3.432
626,HD 158259 d,0.01702,,5.1980814
627,HD 158259 e,0.01913,,7.951
628,HD 158259 f,0.01932,,12.028
629,HD 159243 b,1.13,,12.62
630,HD 159243 c,1.9,,248.4
631,HD 159868 b,2.218,1.202,1184.1
632,HD 159868 c,0.768,1.269,351.0
633,HD 1605 b,0.96,,577.9
634,HD 1605 c,3.48,,2111.0
635,HD 161178 b,0.57,,279.3
636,HD 16141 A b,0.215,,75.82
637,HD 16175 b,4.77,,995.4
638,HD 162004 b,1.53,,3117.0
